va,size
0x0000737C,115
0x000073F0,25
0x00007414,2008
0x00007BF4,120
0x00007C6C,433
0x00007E2C,217
0x00007F08,690
0x000081BC,123
0x00008238,83
0x0000828C,27
0x000082A8,43
0x000082D4,24
0x000082EC,48
0x0000831C,44
0x00008348,118
0x000083C0,486
0x000085A8,328
0x000086F0,286
0x00008814,266
0x00008920,189
0x000089E0,202
0x00008AAC,162
0x00008B50,162
0x00008BF4,30
0x00008C14,116
0x00008C8C,120
0x00008D08,121
0x00008D84,121
0x00008E00,99
0x00008E64,20
0x00008E78,20
0x00008E8C,84
0x00008F04,270
0x00009014,27
0x0000903C,93
0x0000909C,572
0x000092D8,172
0x00009388,90
0x000093E8,69
0x00009430,74
0x0000947C,65
0x000094C0,42
0x00009594,209
0x00009668,164
0x00009718,312
0x00009868,829
0x00009BCC,1050
0x0000A020,748
0x0000A334,388
0x0000A4E4,168
0x0000A5A4,1239
0x0000AA7C,55
0x0000AAB4,47
0x0000AAF4,122
0x0000AB70,55
0x0000ABB8,109
0x0000AC28,45
0x0000AC58,98
0x0000ACBC,96
0x0000AD1C,134
0x0000ADA4,144
0x0000AE34,193
0x0000AEF8,215
0x0000AFD4,315
0x0000B114,162
0x0000B1B8,172
0x0000B264,100
0x0000B2C8,117
0x0000B340,152
0x0000B3D8,950
0x0000B794,68
0x0000B7D8,193
0x0000B89C,141
0x0000B92C,845
0x0000BC8C,3009
0x0000C870,388
0x0000C9F8,812
0x0000CD2C,302
0x0000CE5C,208
0x0000CF2C,103
0x0000CF94,915
0x0000D33C,318
0x0000D47C,59
0x0000D4B8,592
0x0000D710,299
0x0000D83C,147
0x0000D8D4,491
0x0000DAC0,107
0x0000DB2C,117
0x0000DBA4,484
0x0000DD9C,774
0x0000E0A4,309
0x0000E1DC,306
0x0000E310,92
0x0000E36C,770
0x0000E674,353
0x0000E7D8,98
0x0000E83C,269
0x0000E94C,289
0x0000EA70,299
0x0000EB9C,140
0x0000EC28,375
0x0000EDA0,369
0x0000EF14,335
0x0000F064,89
0x0000F0C0,125
0x0000F140,740
0x0000F42C,361
0x0000F598,111
0x0000F60C,205
0x0000F6DC,131
0x0000F760,500
0x0000F958,510
0x0000FB60,266
0x0000FC74,80
0x0000FCC4,27
0x0000FCE0,27
0x0000FD0C,144
0x0000FD9C,60
0x0000FDD8,387
0x0000FF60,135
0x0000FFE8,20
0x0000FFFC,35
0x00010020,238
0x00010110,303
0x00010240,145
0x000102D4,293
0x000103FC,89
0x00010458,5
0x00010460,272
0x00010570,25
0x0001058C,25
0x000105A8,50
0x000105DC,29
0x000105FC,27
0x00010618,23
0x00010630,45
0x00010660,61
0x000106A0,50
0x000106D4,145
0x00010768,153
0x00010804,76
0x00010850,23
0x00010868,23
0x00010890,134
0x00010918,26
0x00010934,38
0x0001095C,33
0x00010980,33
0x000109A4,57
0x000109E0,39
0x00010A08,135
0x00010A90,494
0x00010C80,373
0x00010E00,5
0x00010E08,104
0x00010E7C,99
0x00010EE0,44
0x00010F28,105
0x00010FAC,257
0x000110C4,350
0x00011224,169
0x000112D0,41
0x0001130C,532
0x00011540,154
0x00011638,3024
0x00012244,1378
0x000127A8,157
0x000128A8,2339
0x00013218,765
0x0001352C,608
0x000137E0,1229
0x00013D14,1265
0x0001425C,1076
0x000146E8,1981
0x00014EB4,2155
0x00015730,270
0x00015888,1577
0x00015EEC,1063
0x00016344,1906
0x00016AC0,199
0x00016BA8,2400
0x00017518,69
0x00017580,663
0x0001781C,575
0x00017A64,963
0x00017E38,147
0x00017ECC,136
0x00017F54,35
0x00017F84,125
0x00018004,206
0x000180E0,150
0x00018178,176
0x00018234,178
0x000182E8,250
0x000183F0,144
0x0001848C,175
0x0001853C,132
0x000185C0,275
0x000186E0,172
0x0001878C,144
0x0001881C,355
0x00018980,172
0x00018A2C,194
0x00018AF0,237
0x00018C10,594
0x00018ED8,2198
0x000197E4,3939
0x0001A774,1265
