va,name,kind,confidence,notes
0x000010a8,start,func,C,"runtime: crt0.o:crt0.o exact masked-byte match"
0x00001280,__exit,func,C,"runtime: crt0.o:crt0.o exact masked-byte match"
0x00001368,__sbrk,func,C,"runtime: crt0.o:crt0.o exact masked-byte match"
0x00001380,__brk,func,C,"runtime: crt0.o:crt0.o exact masked-byte match"
0x0000154c,_crt0_init_mcount,func,C,"runtime: crt0.o:crt0.o exact masked-byte match"
0x00001620,_npxsetup,func,C,"runtime: libemu.a:npxsetup.o exact masked-byte match"
0x000072b4,_emu_entry,func,C,"runtime: libemu.a:emu387.o exact masked-byte match"
0x00033fe8,main,func,C,"runtime: reloc-ref: exact masked-byte match"
0x00046bc0,__moddi3,func,C,"runtime: reloc-ref: exact masked-byte match"
0x00046edc,__divdi3,func,C,"runtime: reloc-ref: exact masked-byte match"
0x000471a8,__umoddi3,func,C,"runtime: reloc-ref: exact masked-byte match"
0x00047404,__udivdi3,func,C,"runtime: reloc-ref: exact masked-byte match"
0x0004782c,__crt1_startup,func,C,"runtime: libc.a:crt1.o exact masked-byte match"
0x000478bc,__djgpp_exception_table,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047a2c,__djgpp_save_interrupt_regs,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047aa8,__djgpp_hw_lock_start,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ab0,__djgpp_cbrk_count,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ab4,__djgpp_timer_countdown,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ab8,__djgpp_our_DS,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047aba,__djgpp_app_DS,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047abc,__djgpp_dos_sel,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047abe,__djgpp_hwint_flags,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ac0,__djgpp_old_kbd,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ac8,__djgpp_old_timer,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047ad0,__djgpp_exception_state_ptr,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047b14,__djgpp_ds_alias,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047b18,__djgpp_npx_hdlr,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047b30,__djgpp_kbd_hdlr,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047b6c,__djgpp_kbd_hdlr_pc98,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047b94,__djgpp_timer_hdlr,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047bd4,__djgpp_cbrk_hdlr,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047c00,__djgpp_i24,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047c02,__djgpp_iret,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047c04,__djgpp_hw_exception,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00047c40,__djgpp_hw_lock_end,func,C,"runtime: libc.a:exceptn.o exact masked-byte match"
0x00048384,signal,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x00048448,raise,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x00048554,__djgpp_exception_processor,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x000485b8,__djgpp_exception_toggle,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x000486c4,__djgpp_exception_setup,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x000487f0,__djgpp_set_ctrl_c,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x00048820,_exit,func,C,"runtime: libc.a:dpmiexcp.o exact masked-byte match"
0x0004884c,longjmp,func,C,"runtime: libc.a:longjmp.o exact masked-byte match"
0x000488c0,getenv,func,C,"runtime: libc.a:getenv.o exact masked-byte match"
0x0004891c,__dpmi_set_coprocessor_emulation,func,C,"runtime: libc.a:d0e01.o exact masked-byte match"
0x00048944,_detect_80387,func,C,"runtime: libc.a:fpu.o exact masked-byte match"
0x00048990,_write,func,C,"runtime: libc.a:_write.o exact masked-byte match"
0x00048a7c,_control87,func,C,"runtime: libc.a:cntrl87.o exact masked-byte match"
0x00048aa4,vsprintf,func,C,"runtime: libc.a:vsprintf.o exact masked-byte match"
0x00048adc,setjmp,func,C,"runtime: libc.a:setjmp.o exact masked-byte match"
0x00048b44,memset,func,C,"runtime: libc.a:memset.o exact masked-byte match"
0x00048b84,__dpmi_simulate_real_mode_interrupt,func,C,"runtime: libc.a:d0300.o exact masked-byte match"
0x00048bbc,_go32_dpmi_allocate_dos_memory,func,C,"runtime: libc.a:gormem.o exact masked-byte match"
0x00048bfe,_go32_dpmi_free_dos_memory,func,C,"runtime: libc.a:gormem.o exact masked-byte match"
0x00048c22,_go32_dpmi_resize_dos_memory,func,C,"runtime: libc.a:gormem.o exact masked-byte match"
0x00048c68,fwrite,func,C,"runtime: libc.a:fwrite.o exact masked-byte match"
0x00048e7c,fread,func,C,"runtime: libc.a:fread.o exact masked-byte match"
0x00048fa8,fopen,func,C,"runtime: libc.a:fopen.o exact masked-byte match"
0x000490e0,exit,func,C,"runtime: libc.a:exit.o exact masked-byte match"
0x00049148,fclose,func,C,"runtime: libc.a:fclose.o exact masked-byte match"
0x000491fc,floor,func,C,"runtime: libc.a:floor.o exact masked-byte match"
0x00049230,puttext,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000492a4,gettext,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049318,gotoxy,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049358,wherex,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049380,wherey,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000493a8,textmode,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004944c,textattr,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049460,textcolor,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049484,textbackground,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000494a8,highvideo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000494c4,lowvideo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000494e0,normvideo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000494f8,_setcursortype,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004955c,clreol,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049644,clrscr,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049700,putch,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049814,getche,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049838,getch,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049870,ungetch,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049898,_conio_kbhit,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x000498d0,insline,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004997c,delline,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049a38,window,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049a98,cputs,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049c64,cprintf,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049c9c,cgets,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049d2c,cscanf,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049d4c,movetext,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x00049e14,gettextinfo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004a12c,_set_screen_lines,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004a294,blinkvideo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004a2b4,intensevideo,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004a2d4,gppconio_init,func,C,"runtime: libc.a:conio.o exact masked-byte match"
0x0004a358,remove,func,C,"runtime: libc.a:remove.o exact masked-byte match"
0x0004a414,fgets,func,C,"runtime: libc.a:fgets.o exact masked-byte match"
0x0004a4f0,strcpy,func,C,"runtime: libc.a:strcpy.o exact masked-byte match"
0x0004a518,strcat,func,C,"runtime: libc.a:strcat.o exact masked-byte match"
0x0004a550,printf,func,C,"runtime: libc.a:printf.o exact masked-byte match"
0x0004a578,fileno,func,C,"runtime: libc.a:fileno.o exact masked-byte match"
0x0004a594,fseek,func,C,"runtime: libc.a:fseek.o exact masked-byte match"
